Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	2	Monte da Virgem	 41,11313	-008,59838	200,1
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Fixed unit	8	Penaguião	 41,24873	-007,88647	1400,0
Fixed unit	9	Penedono	 41,01212	-007,41839	991,0
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 036,7	0
 41,40347	-008,71083	 038,0	2
 41,40347	-008,70584	 041,6	2
 41,40347	-008,70085	 039,1	0
 41,40347	-008,69586	 037,1	0
 41,40348	-008,69087	 033,0	0
 41,40347	-008,68588	 036,9	2
 41,40347	-008,68089	 036,6	0
 41,40347	-008,67590	 035,7	0
 41,40347	-008,67091	 036,0	0
 41,40347	-008,66593	 026,9	0
 41,40347	-008,66093	 024,7	2
 41,40347	-008,65594	 029,0	0
 41,40347	-008,65095	 024,7	0
 41,40347	-008,64596	 024,7	0
 41,40347	-008,64097	 026,4	0
 41,40347	-008,63598	 025,3	0
 41,40347	-008,63099	 021,2	0
 41,40347	-008,62600	 022,7	0
 41,40347	-008,62101	 024,1	8
 41,40347	-008,61602	 014,5	0
 41,40347	-008,61103	 014,4	0
 41,40347	-008,60604	 022,7	2
 41,40347	-008,60105	 032,6	2
 41,40347	-008,59606	 039,2	2
 41,40348	-008,59107	 018,7	0
 41,40347	-008,58608	 019,4	0
 41,40347	-008,58109	 035,1	8
 41,40347	-008,57610	 040,0	8
 41,40347	-008,57111	 028,0	8
 41,40347	-008,56612	 035,1	2
 41,40347	-008,56113	 039,0	2
 41,40347	-008,55614	 045,4	2
 41,40347	-008,55115	 050,2	2
 41,40347	-008,54616	 050,9	0
 41,40347	-008,54117	 045,8	8
 41,40347	-008,53618	 042,0	8
 41,40347	-008,53119	 032,8	0
 41,40347	-008,52620	 033,0	8
 41,40347	-008,52121	 031,2	0
 41,40347	-008,51622	 023,2	0
 41,40347	-008,51123	 032,7	0
 41,40348	-008,50624	 034,8	0
 41,40347	-008,50125	 038,5	0
 41,40347	-008,49626	 041,2	0
 41,40347	-008,49127	 041,9	8
 41,40347	-008,48628	 032,1	0
 41,40347	-008,48129	 036,1	2
 41,40347	-008,47630	 037,2	2
 41,40347	-008,47131	 042,9	0
 41,40347	-008,46632	 035,8	0
 41,40347	-008,46133	 034,0	0
 41,40347	-008,45634	 033,6	2
 41,40347	-008,45135	 026,8	2
 41,40348	-008,44636	 020,9	0
 41,40347	-008,44137	 018,4	0
 41,40347	-008,43638	 033,7	2
 41,40347	-008,43139	 037,8	2
 41,40347	-008,42640	 028,0	8
 41,40347	-008,42141	 049,3	8
 41,40347	-008,41642	 037,9	0
 41,40347	-008,41143	 049,2	8
