Range	60,0dB	-120,0dBm
Mobile unit	1	Mobile Terminal	 00,00000	 000,00000	0,0
Fixed unit	2	Monte da Virgem	 41,11313	-008,59838	200,1
Fixed unit	3	Sardoura	 41,04918	-008,31171	316,6
Fixed unit	4	Resende	 41,13410	-007,98018	552,6
Fixed unit	9	Penedono	 41,01212	-007,41839	991,0
Latitude	Longitude	Rx(dB)	Best unit
 41,40347	-008,71583	 036,7	2
 41,40347	-008,71083	 038,0	2
 41,40347	-008,70584	 041,6	2
 41,40347	-008,70085	 039,1	2
 41,40347	-008,69586	 037,1	2
 41,40348	-008,69087	 033,0	2
 41,40347	-008,68588	 036,9	2
 41,40347	-008,68089	 036,6	2
 41,40347	-008,67590	 035,7	2
 41,40347	-008,67091	 033,6	2
 41,40347	-008,66593	 019,0	2
 41,40347	-008,66093	 024,7	2
 41,40347	-008,65594	 020,4	2
 41,40347	-008,65095	 017,0	0
 41,40347	-008,64596	 024,7	2
 41,40347	-008,64097	 021,2	2
 41,40347	-008,63598	 015,8	2
 41,40347	-008,63099	 019,7	2
 41,40347	-008,62600	 022,7	2
 41,40347	-008,62101	 007,4	0
 41,40347	-008,61602	 014,5	2
 41,40347	-008,61103	 006,5	0
 41,40347	-008,60604	 022,7	2
 41,40347	-008,60105	 032,6	2
 41,40347	-008,59606	 039,2	2
 41,40348	-008,59107	 017,2	2
 41,40347	-008,58608	 015,4	2
 41,40347	-008,58109	 013,3	0
 41,40347	-008,57610	 029,9	2
 41,40347	-008,57111	 013,7	0
 41,40347	-008,56612	 035,1	2
 41,40347	-008,56113	 039,0	2
 41,40347	-008,55614	 045,4	2
 41,40347	-008,55115	 050,2	2
 41,40347	-008,54616	 048,3	2
 41,40347	-008,54117	 032,4	2
 41,40347	-008,53618	 029,2	0
 41,40347	-008,53119	 025,1	0
 41,40347	-008,52620	 021,6	0
 41,40347	-008,52121	 031,2	2
 41,40347	-008,51622	 023,2	2
 41,40347	-008,51123	 028,2	0
 41,40348	-008,50624	 030,9	2
 41,40347	-008,50125	 038,5	2
 41,40347	-008,49626	 037,5	2
 41,40347	-008,49127	 029,0	2
 41,40347	-008,48628	 025,8	2
 41,40347	-008,48129	 036,1	2
 41,40347	-008,47630	 037,2	2
 41,40347	-008,47131	 037,1	2
 41,40347	-008,46632	 035,8	2
 41,40347	-008,46133	 034,0	2
 41,40347	-008,45634	 033,6	2
 41,40347	-008,45135	 026,8	2
 41,40348	-008,44636	 012,9	0
 41,40347	-008,44137	 018,4	0
 41,40347	-008,43638	 033,7	2
 41,40347	-008,43139	 037,8	2
 41,40347	-008,42640	 010,2	2
 41,40347	-008,42141	 038,7	2
 41,40347	-008,41642	 037,9	2
 41,40347	-008,41143	 036,0	2
 41,40347	-008,40644	 029,7	2
 41,40347	-008,40145	 019,7	0
 41,40347	-008,39646	 025,5	2
 41,40347	-008,39147	 023,8	0
 41,40347	-008,38648	 019,5	0
 41,40347	-008,38149	 018,4	0
 41,40347	-008,37650	 006,5	0
 41,40347	-008,37151	 015,3	0
 41,40347	-008,36652	 011,3	0
 41,40347	-008,36153	 015,9	0
 41,40347	-008,35654	 025,5	0
 41,40347	-008,35155	 028,4	0
 41,40348	-008,34656	 031,8	0
 41,40347	-008,34157	 032,2	0
 41,40347	-008,33658	 028,3	0
 41,40347	-008,33159	 007,8	0
 41,40347	-008,32660	 022,6	3
 41,40347	-008,32161	 016,8	0
 41,40347	-008,31662	 024,8	0
 41,40347	-008,31163	 030,2	0
 41,40347	-008,30663	 026,9	0
 41,40347	-008,30165	 023,3	2
 41,40347	-008,29666	 019,8	2
 41,40347	-008,29167	 031,5	2
 41,40347	-008,28667	 007,2	0
 41,40347	-008,28168	 015,3	0
 41,40347	-008,27670	-008,8	0
 41,40347	-008,27170	 019,2	0
 41,40347	-008,26672	 028,9	0
 41,40347	-008,26172	 029,2	0
 41,40347	-008,25673	 028,0	0
 41,40347	-008,25174	 014,1	3
 41,40347	-008,24675	 028,4	0
 41,40347	-008,24176	 032,1	0
 41,40347	-008,23677	 010,4	3
 41,40347	-008,23178	 011,5	0
 41,40347	-008,22679	 014,4	0
 41,40347	-008,22180	-000,6	0
 41,40347	-008,21681	 008,7	0
 41,40347	-008,21182	 005,9	0
 41,40347	-008,20683	 020,8	0
 41,40347	-008,20184	 024,8	0
 41,40347	-008,19685	 032,3	0
 41,40347	-008,19186	 029,5	0
 41,40347	-008,18687	 020,4	0
 41,40347	-008,18188	 028,9	0
 41,40347	-008,17689	 031,0	0
 41,40347	-008,17190	 028,4	2
 41,40347	-008,16691	 028,5	0
 41,40347	-008,16192	 015,0	0
 41,40347	-008,15693	 004,3	0
 41,40347	-008,15194	 029,8	0
 41,40347	-008,14695	 034,8	0
 41,40347	-008,14196	 009,1	0
 41,40347	-008,13697	 015,5	0
 41,40347	-008,13198	 031,2	2
 41,40347	-008,12699	 015,4	0
 41,40347	-008,12200	 012,9	0
 41,40347	-008,11701	 034,8	0
 41,40347	-008,11202	 036,0	2
 41,40347	-008,10703	 012,9	0
 41,40347	-008,10204	 011,1	0
 41,40347	-008,09705	 012,4	0
 41,40347	-008,09206	 029,9	3
 41,40347	-008,08707	 031,1	3
 41,40347	-008,08208	 037,4	0
 41,40347	-008,07709	 038,8	0
 41,40347	-008,07210	 043,1	0
 41,40347	-008,06711	 021,1	0
 41,40347	-008,06212	 020,7	0
 41,40347	-008,05713	 018,8	0
 41,40347	-008,05214	 018,5	0
 41,40347	-008,04715	 011,5	0
 41,40347	-008,04216	 016,7	3
 41,40347	-008,03717	 024,5	3
 41,40347	-008,03218	 033,7	0
 41,40347	-008,02719	 027,1	0
 41,40347	-008,02220	 017,1	9
 41,40347	-008,01721	 017,4	9
 41,40347	-008,01222	 014,5	0
 41,40347	-008,00723	 017,8	0
 41,40347	-008,00224	 018,7	0
 41,40347	-007,99725	 018,9	0
 41,40347	-007,99226	 019,8	0
 41,40347	-007,98727	 019,4	3
 41,40347	-007,98228	 019,9	0
 41,40347	-007,97729	 006,5	0
 41,40347	-007,97230	 000,8	0
 41,40347	-007,96731	 014,0	0
 41,40347	-007,96232	 009,1	0
 41,40347	-007,95733	 009,2	0
 41,40347	-007,95234	 019,8	3
 41,40347	-007,94735	 021,6	3
 41,40347	-007,94236	 021,4	3
 41,40347	-007,93737	 016,8	3
 41,40347	-007,93238	 023,6	3
 41,40347	-007,92739	 030,4	3
 41,40347	-007,92240	 034,7	3
 41,40347	-007,91741	 019,2	3
 41,40348	-007,91242	 020,5	0
 41,40347	-007,90743	 015,9	0
 41,40347	-007,90244	 016,4	0
 41,40347	-007,89745	 026,0	0
 41,40347	-007,89246	 024,0	0
 41,40347	-007,88747	 023,4	0
 41,40347	-007,88247	 015,5	3
 41,40347	-007,87748	 017,8	0
 41,40347	-007,87250	 014,8	0
 41,40347	-007,86751	 004,1	0
 41,40347	-007,86251	 001,3	0
 41,40347	-007,85752	 015,4	3
 41,40347	-007,85253	 027,1	2
 41,40347	-007,84754	 040,0	0
 41,40347	-007,84255	 040,6	0
 41,40347	-007,83756	 033,9	0
 41,40347	-007,83257	 036,1	0
 41,40347	-007,82758	 034,5	2
 41,40347	-007,82259	 035,9	0
 41,40347	-007,81760	 043,9	0
 41,40347	-007,81261	 039,8	2
 41,40347	-007,80762	 029,0	2
 41,40347	-007,80263	 031,4	0
 41,40347	-007,79764	 042,2	0
 41,40347	-007,79265	 027,1	9
 41,40347	-007,78766	 026,0	9
 41,40347	-007,78267	 018,9	0
 41,40347	-007,77768	 017,2	0
 41,40347	-007,77269	 032,0	0
 41,40347	-007,76770	 037,7	0
 41,40347	-007,76271	 025,0	0
 41,40347	-007,75772	 035,6	0
 41,40347	-007,75273	 038,6	2
 41,40347	-007,74774	 022,7	9
 41,40347	-007,74275	 045,9	9
 41,40347	-007,73776	 047,7	9
 41,40347	-007,73277	 032,2	9
 41,40347	-007,72778	 045,6	9
 41,40347	-007,72279	 035,0	9
 41,40347	-007,71780	 017,7	9
 41,40347	-007,71281	 008,6	0
 41,40347	-007,70782	 008,2	0
 41,40347	-007,70283	 036,8	9
 41,40347	-007,69784	 013,4	0
 41,40347	-007,69285	 028,2	9
 41,40347	-007,68786	 015,4	9
 41,40347	-007,68287	 013,5	4
 41,40347	-007,67788	 017,3	0
 41,40347	-007,67289	 018,9	0
 41,40347	-007,66790	 023,9	0
 41,40347	-007,66291	 020,1	0
 41,40347	-007,65792	 039,7	9
 41,40347	-007,65293	 044,4	9
 41,40347	-007,64794	 048,1	9
 41,40347	-007,64295	 024,5	0
 41,40347	-007,63796	 048,3	9
 41,40347	-007,63297	 047,9	9
 41,40347	-007,62798	 048,0	9
 41,40347	-007,62299	 016,6	0
 41,40347	-007,61800	 050,1	9
 41,40347	-007,61301	 043,5	9
 41,40347	-007,60802	 040,9	9
 41,40347	-007,60303	 018,6	9
 41,40347	-007,59804	 027,0	9
 41,40347	-007,59305	 018,6	0
 41,40347	-007,58806	 044,0	9
 41,40347	-007,58307	 011,0	0
 41,40347	-007,57808	 013,5	0
 41,40347	-007,57309	 008,3	0
 41,40347	-007,56810	 020,7	4
 41,40347	-007,56311	 024,8	4
 41,40347	-007,55812	 044,5	9
 41,40347	-007,55313	 051,8	9
 41,40347	-007,54814	 029,1	9
 41,40347	-007,54315	 019,8	0
 41,40347	-007,53816	 029,7	9
 41,40347	-007,53317	 048,0	9
 41,40347	-007,52818	 048,6	9
 41,40347	-007,52319	 046,0	9
 41,40347	-007,51820	 034,8	9
 41,40347	-007,51321	 043,3	9
 41,40347	-007,50822	 020,8	9
 41,40347	-007,50323	 031,3	9
 41,40347	-007,49824	 019,3	9
 41,40347	-007,49325	 005,3	9
 41,40347	-007,48826	 011,4	9
 41,40347	-007,48327	 028,4	9
 41,40347	-007,47828	 017,2	9
 41,40347	-007,47329	 018,3	9
 41,40347	-007,46830	 001,8	9
 41,40347	-007,46331	 012,8	9
 41,40347	-007,45831	 026,1	9
 41,40347	-007,45332	 020,8	9
 41,40347	-007,44834	 022,7	9
 41,40347	-007,44334	 025,6	9
 41,40347	-007,43835	 025,3	9
 41,40347	-007,43336	 026,7	9
 41,40347	-007,42837	 021,3	9
 41,40347	-007,42338	 014,2	9
 41,40347	-007,41839	 030,8	9
 41,40347	-007,41340	 032,2	9
 41,40347	-007,40841	 037,2	9
 41,40347	-007,40342	-000,3	9
 41,40347	-007,39843	 001,5	9
 41,40348	-007,39344	 015,3	9
 41,40347	-007,38845	 022,3	9
 41,40347	-007,38346	 040,8	9
 41,40347	-007,37847	 047,2	9
 41,40347	-007,37348	 002,0	9
 41,40347	-007,36849	 011,5	9
 41,40347	-007,36350	 020,4	9
 41,40347	-007,35851	 029,8	9
 41,40347	-007,35352	 030,6	9
 41,40347	-007,34853	 034,4	9
 41,40347	-007,34354	 030,5	9
 41,40347	-007,33855	 011,1	9
 41,40347	-007,33356	-000,2	0
 41,40347	-007,32857	 023,4	0
 41,40347	-007,32358	 016,1	0
 41,40347	-007,31859	 037,9	9
 41,40347	-007,31360	 034,4	9
 41,40347	-007,30861	 021,5	9
 41,40347	-007,30362	 018,7	9
 41,40347	-007,29863	 033,2	9
 41,40347	-007,29364	 015,9	9
 41,40347	-007,28865	 000,3	9
 41,40347	-007,28366	 003,6	9
 41,40347	-007,27867	 020,9	9
 41,40347	-007,27368	 023,3	9
 41,40347	-007,26869	 026,2	9
 41,40347	-007,26370	 021,9	9
 41,40347	-007,25871	 015,3	9
 41,40347	-007,25372	 023,4	9
 41,40347	-007,24873	 023,3	9
 41,40347	-007,24374	 024,0	9
 41,40347	-007,23875	 018,7	0
 41,40348	-007,23376	 025,5	9
 41,40347	-007,22877	 010,6	9
 41,40347	-007,22378	 027,3	9
 41,40347	-007,21879	 005,4	9
 41,40347	-007,21380	 012,8	9
 41,40347	-007,20881	 018,1	9
 41,40347	-007,20382	 027,1	9
 41,40347	-007,19883	 025,2	9
 41,40347	-007,19384	 030,4	9
 41,40347	-007,18885	 031,5	9
 41,40347	-007,18386	 001,0	9
 41,40347	-007,17887	-001,9	9
 41,40347	-007,17388	 005,1	9
 41,40347	-007,16889	 009,1	9
 41,40348	-007,16390	 012,7	9
 41,40347	-007,15891	 014,4	9
 41,40347	-007,15392	 018,6	9
 41,40348	-007,14893	 018,6	0
 41,40347	-007,14394	 017,8	0
 41,40347	-007,13895	 024,8	0
 41,40347	-007,13396	 026,9	0
 41,40347	-007,12897	 026,8	0
 41,40347	-007,12398	 020,4	4
 41,40347	-007,11899	 004,1	9
 41,40347	-007,11400	 005,2	0
 41,40347	-007,10901	-009,3	9
 41,40347	-007,10402	 001,1	9
 41,40347	-007,09903	 006,3	9
 41,40347	-007,09404	 013,7	9
 41,40347	-007,08905	 017,8	9
 41,40347	-007,08406	 020,8	9
 41,40347	-007,07907	 023,1	9
 41,40347	-007,07408	 026,6	9
 41,40347	-007,06909	 029,9	9
 41,40347	-007,06410	 022,4	9
 41,40347	-007,05911	 002,0	9
 41,40347	-007,05412	 015,4	9
 41,40347	-007,04913	 019,6	9
 41,40347	-007,04414	 017,9	9
 41,40347	-007,03915	 035,5	9
 41,40347	-007,03415	 041,3	9
 41,40347	-007,02917	 046,7	9
 41,40347	-007,02418	 045,6	9
 41,39972	-008,71582	 041,7	2
 41,39972	-008,71084	 039,9	2
 41,39972	-008,70584	 039,4	2
 41,39971	-008,70085	 038,0	2
 41,39972	-008,69586	 037,1	2
 41,39972	-008,69087	 033,9	2
 41,39972	-008,68588	 031,4	2
 41,39971	-008,68089	 035,6	2
 41,39971	-008,67590	 029,1	2
 41,39972	-008,67091	 032,7	2
 41,39972	-008,66593	 028,6	2
 41,39972	-008,66093	 021,0	2
 41,39971	-008,65594	 013,4	2
 41,39972	-008,65095	 002,1	0
 41,39972	-008,64596	 014,6	0
 41,39972	-008,64097	 022,9	2
 41,39971	-008,63598	 012,5	2
 41,39971	-008,63099	 013,3	2
 41,39972	-008,62600	 015,5	2
 41,39972	-008,62101	 024,3	2
 41,39972	-008,61602	 007,0	2
 41,39971	-008,61103	 017,0	0
 41,39972	-008,60604	 015,2	2
 41,39972	-008,60105	 009,8	2
 41,39972	-008,59606	 033,0	2
 41,39971	-008,59107	 044,9	2
 41,39972	-008,58608	 037,9	2
 41,39972	-008,58109	 039,9	2
 41,39972	-008,57610	 032,8	0
 41,39971	-008,57111	 030,1	0
 41,39972	-008,56612	 030,6	0
 41,39972	-008,56113	 038,5	2
 41,39972	-008,55614	 042,4	2
 41,39972	-008,55115	 046,4	2
